component_id,count,mean,min,max
1977,4,1.000000,1.000000,1.000000
1961,4,0.960268,0.960268,0.960268
1947,12,1.000000,1.000000,1.000000
1944,12,0.990238,0.985358,1.000000
1935,12,0.985370,0.978054,1.000000
1927,4,0.994296,0.994296,0.994296
1924,12,0.995914,0.993871,1.000000
1918,4,0.966147,0.966147,0.966147
1885,4,1.000000,1.000000,1.000000
1875,4,0.973487,0.973487,0.973487
1806,4,0.964946,0.964946,0.964946
1796,4,0.983005,0.983005,0.983005
1778,4,1.000000,1.000000,1.000000
1767,4,0.988871,0.988871,0.988871
1766,4,1.000000,1.000000,1.000000
1684,4,0.974973,0.974973,0.974973
1655,16,0.992503,0.987026,0.997429
1645,4,1.000000,1.000000,1.000000
1630,4,0.964114,0.964114,0.964114
1613,20,0.986866,0.982931,0.990033
1579,4,1.000000,1.000000,1.000000
1568,18,0.990896,0.960330,0.995307
1534,12,0.999891,0.999846,0.999925
1533,4,0.963142,0.963142,0.963142
1529,4,0.992405,0.992405,0.992405
1492,12,1.000000,1.000000,1.000000
1491,4,0.997846,0.997846,0.997846
1486,4,1.000000,1.000000,1.000000
1454,4,0.982939,0.982939,0.982939
1423,4,0.997191,0.997191,0.997191
1416,4,0.989324,0.989324,0.989324
1383,12,0.993735,0.991385,0.996060
1363,4,0.994494,0.994494,0.994494
1360,4,1.000000,1.000000,1.000000
1349,36,0.975365,0.963361,0.987592
1342,4,0.986742,0.986742,0.986742
1340,4,1.000000,1.000000,1.000000
1333,4,1.000000,1.000000,1.000000
1331,36,0.999949,0.999895,0.999976
1312,12,0.998447,0.997671,1.000000
1271,4,1.000000,1.000000,1.000000
1234,4,1.000000,1.000000,1.000000
1232,12,1.000000,1.000000,1.000000
1226,12,0.996499,0.994748,1.000000
1212,4,0.992484,0.992484,0.992484
1201,4,0.997401,0.997401,0.997401
1177,14,0.978161,0.969953,0.985672
1163,4,0.998664,0.998664,0.998664
1158,16,0.999705,0.999411,1.000000
1146,24,0.999814,0.999204,0.999964
1129,4,1.000000,1.000000,1.000000
524,4,0.989698,0.989698,0.989698
475,16,0.997175,0.995223,0.998972
466,8,0.981769,0.973430,0.990108
449,88,0.999854,0.998594,0.999966
433,4,0.975954,0.975954,0.975954
430,4,1.000000,1.000000,1.000000
407,4,1.000000,1.000000,1.000000
397,4,0.981572,0.981572,0.981572
388,16,0.971782,0.962249,0.981910
377,4,1.000000,1.000000,1.000000
354,4,1.000000,1.000000,1.000000
339,28,0.977012,0.962686,0.988695
322,16,0.975450,0.967229,0.978642
312,4,0.964310,0.964310,0.964310
306,4,1.000000,1.000000,1.000000
305,4,0.993838,0.993838,0.993838
298,16,0.974584,0.962879,0.977623
278,4,0.983168,0.983168,0.983168
275,12,0.992584,0.988876,1.000000
262,4,1.000000,1.000000,1.000000
123,4,0.995781,0.995781,0.995781
113,4,1.000000,1.000000,1.000000
104,28,0.999857,0.999640,0.999975
101,4,1.000000,1.000000,1.000000
86,4,1.000000,1.000000,1.000000
81,4,0.961051,0.961051,0.961051
67,38,0.997030,0.986724,1.000000
60,4,0.993223,0.993223,0.993223
24,4,0.969352,0.969352,0.969352
18,124,0.983857,0.961052,0.993797
14,4,0.983675,0.983675,0.983675
34,16,0.999569,0.998275,1.000000
48,4,1.000000,1.000000,1.000000
133,4,0.979108,0.979108,0.979108
169,4,0.991995,0.991995,0.991995
175,4,0.960132,0.960132,0.960132
176,12,0.995396,0.993367,0.999312
186,4,0.996951,0.996951,0.996951
199,4,0.973924,0.973924,0.973924
212,4,0.991180,0.991180,0.991180
215,12,0.997315,0.995972,1.000000
222,12,0.977562,0.977037,0.978145
229,28,0.999904,0.999777,0.999954
232,4,0.965834,0.965834,0.965834
541,4,1.000000,1.000000,1.000000
563,4,0.973744,0.973744,0.973744
564,1110,0.999987,0.996888,1.000000
569,12,0.996009,0.994014,1.000000
